,,,,,,,,Nama Perusahaan Produsen atau Importir Kendaraan,,,,,,Mazda Motor Corporation,,,
,,,DBA-DE3FS,ZJ,1.348,4AT(E･LTC),990.0,5.0,18.2,127.56373626373626,20.5,"V,EP",3W+EGR,F,,☆☆☆☆,
,,,DBA-DE5FS,ZY,1.498,CVT(E･LTC),1000～1020,5.0,17.8,130.4303370786517,20.5,"V,EP,C",3W+EGR,F,,☆☆☆☆,
,,,DBA-DE5FS,ZY,1.498,5MT,980～1000,5.0,17.2,134.98023255813953,20.5,"V,EP",3W+EGR,F,,☆☆☆☆,
,,,DBA-DE3AS,ZJ,1.348,4AT(E･LTC),1070.0,5.0,16.6,139.85903614457828,20.5,"V,EP",3W+EGR,A,,☆☆☆☆,
,,Atenza,DBA-GJEFP,PE,1.997,6AT(E･LTC),1430.0,5.0,17.4,133.42873563218393,14.4,"I,D,V,EP,B",3W,F,,☆☆☆☆,120.0
,,,DBA-GJEFW,PE,1.997,6AT(E･LTC),1450.0,5.0,17.4,133.42873563218393,14.4,"I,D,V,EP,B",3W,F,,☆☆☆☆,120.0
,,,DBA-GJ5FP,PY,2.488,6AT(E･LTC),1450.0,5.0,16.0,145.10375,14.4,"I,D,V,EP,B",3W,F,,☆☆☆☆,111.0
,,,DBA-GJ5FW,PY,2.488,6AT(E･LTC),1470.0,5.0,16.0,145.10375,14.4,"I,D,V,EP,B",3W,F,,☆☆☆☆,111.0
,,CX-5,DBA-KEEFW,PE,1.997,6AT(E･LTC),1440～1460,5.0,16.4,141.56463414634146,14.4,"I,D,V,EP,B",3W,F,,☆☆☆☆,113.0
,,,DBA-KEEAW,PE,1.997,6AT(E･LTC),1510～1530,5.0,16.0,145.10375,14.4,"I,D,V,EP,B",3W,A,,☆☆☆☆,111.0
,,,DBA-KE5FW,PY,2.488,6AT(E･LTC),1470～1480,5.0,15.2,152.74078947368417,14.4,"I,D,V,EP,B",3W,F,,☆☆☆☆,105.0
,,,DBA-KE5AW,PY,2.488,6AT(E･LTC),1540～1550,5.0,14.6,159.01780821917808,13.2,"I,D,V,EP,B",3W,F,,☆☆☆☆,110.0
,,Verisa,DBA-DC5W,ZY,1.498,4AT(E･LTC),1100.0,5.0,16.4,141.56463414634146,18.7,"V,EP",3W+EGR,F,,☆☆☆☆,
,,,DBA-DC5R,ZY,1.498,4AT(E･LTC),1170.0,5.0,15.2,152.74078947368417,18.7,"V,EP",3W+EGR,A,,☆☆☆☆,
,,Premacy,DBA-CWFFW,PE,1.997,6AT(E･LTC),1480～1490,7.0,16.2,143.31234567901234,14.4,"I,D,V,EP,B",3W,F,15ｲﾝﾁﾀｲﾔ,☆☆☆☆,112.0
,,,DBA-CWFFW,PE,1.997,6AT(E･LTC),1490～1500,7.0,15.2,152.74078947368417,14.4,"I,D,V,EP,B",3W,F,16ｲﾝﾁﾀｲﾔAtau17ｲﾝﾁﾀｲﾔ,☆☆☆☆,105.0
,,,DBA-CWEFW,LF,1.998,5AT(E･LTC),1470～1490,7.0,13.0,178.58923076923077,14.4,"D,V,EP",3W+EGR,F,,☆☆☆☆,
,,,DBA-CWEAW,LF,1.998,4AT(E･LTC),1580～1590,7.0,10.6,219.0245283018868,13.2,"V,EP",3W+EGR,A,,☆☆☆☆,
,,Biante,DBA-CCFFW,PE,1.997,6AT(E･LTC),1660.0,8.0,14.8,156.8689189189189,12.2,"I,D,V,EP,B",3W,F,,☆☆☆☆,121.0
,,,DBA-CCEAW,LF,1.998,4AT(E･LTC),1760.0,8.0,10.0,232.166,12.2,"D,V,EP",3W+EGR,A,,☆☆☆☆,
,,,DBA-CCEAW,LF,1.998,4AT(E･LTC),1770.0,8.0,9.4,246.9851063829787,11.1,"D,V,EP",3W+EGR,A,,☆☆☆☆,
,,Roadster,DBA-NCEC,LF,1.998,5MT,1110.0,2.0,12.6,184.25873015873015,18.7,V,3W+EGR,R,,☆☆☆☆,
,,,DBA-NCEC,LF,1.998,6MT,1120～1160,2.0,11.8,196.75084745762712,18.7,V,3W+EGR,R,,☆☆☆☆,
,,,DBA-NCEC,LF,1.998,6AT(E･LTC),1130～1170,2.0,11.2,207.29107142857143,18.7,V,3W+EGR,R,,☆☆☆☆,
,,MPV,DBA-LY3P,L3,2.26,5AT(E･LTC),1740～1760,7.0,11.0,211.05999999999997,12.2,V,3W+EGR,F,,☆☆☆☆,
,,,DBA-LY3P,L3,2.26,5AT(E･LTC),1770.0,7.0,10.6,219.0245283018868,11.1,V,3W+EGR,F,,☆☆☆☆,
,,,DBA-LY3P,L3,2.26,6AT(E･LTC),1850～1860,7.0,10.2,227.6137254901961,11.1,V,3W+EGR,A,,☆☆☆☆,
,,,DBA-LY3P,L3,2.26,6AT(E･LTC),1880～1890,7.0,10.0,232.166,10.2,V,3W+EGR,A,,☆☆☆☆,
